Date,Open,High,Low,Close,Adj Close,Volume,Open-Close,High-Low,percent_change,vol_shock
2022-07-11,145.6699981689453,146.63999938964844,143.77999877929688,144.8699951171875,144.0100860595703,63141600,0.005491886193545387,0.019891505318077516,-0.014757877230874183,0
2022-07-12,145.75999450683594,148.4499969482422,145.0500030517578,145.86000061035156,144.9941864013672,77588800,-0.0006861011751131402,0.02344015046501698,0.006833751132270249,1
2022-07-13,142.99000549316406,146.4499969482422,142.1199951171875,145.49000549316406,144.62640380859375,71185600,-0.017483739450024134,0.030467224738393143,-0.0025366455206311533,0
2022-07-14,144.0800018310547,148.9499969482422,143.25,148.47000122070312,147.58872985839844,78140700,-0.03046917916336552,0.03979055461251091,0.0204824772494705,0
2022-07-15,149.77999877929688,150.86000061035156,148.1999969482422,150.1699981689453,149.2786102294922,76259900,-0.002603814880671134,0.017948743028910877,0.011450103955445545,0
2022-07-18,150.74000549316406,151.57000732421875,146.6999969482422,147.07000732421875,146.19703674316406,81420900,0.024346543951212368,0.033197072101472304,-0.020643210245224752,0
2022-07-19,147.9199981689453,151.22999572753906,146.91000366210938,151.0,150.10369873046875,82982400,-0.02082207861804389,0.02940570388498253,0.026721917998667744,0
2022-07-20,151.1199951171875,153.72000122070312,150.3699951171875,153.0399932861328,152.13157653808594,64823400,-0.01270512328601143,0.022278421309416634,0.013509889312137924,0
2022-07-21,154.5,155.57000732421875,151.94000244140625,155.35000610351562,154.42788696289062,65086600,-0.005501657627932848,0.023891041361621446,0.015094177461599134,0
2022-07-22,155.38999938964844,156.27999877929688,153.41000366210938,154.08999633789062,153.17535400390625,66675400,0.008366066393358995,0.018708005010603868,-0.008110780277571505,0
2022-07-25,154.00999450683594,155.0399932861328,152.27999877929688,152.9499969482422,152.04212951660156,53623900,0.006882654349725989,0.018124471558711167,-0.0073982699509488326,0
2022-07-26,152.25999450683594,153.08999633789062,150.8000030517578,151.60000610351562,150.70013427734375,55138700,0.0043346146534287535,0.015185631563593784,-0.0088263541788981,0
2022-07-27,152.5800018310547,157.3300018310547,152.16000366210938,156.7899932861328,155.85931396484375,78620700,-0.027592026507770453,0.03397737936722156,0.034234742570348864,1
2022-07-28,156.97999572753906,157.63999938964844,154.41000366210938,157.35000610351562,156.416015625,81378700,-0.0023570543129505985,0.020918306139070898,0.0035717382573059453,0
2022-07-29,161.24000549316406,163.6300048828125,159.5,162.50999450683594,161.5453643798828,101786900,-0.00787638904989815,0.025893447541144202,0.03279306134837845,1
